,Unnamed: 0,path,mask_state,age,gender,class,pred,folder
89,89,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000016_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000016_female_Asian_58
91,91,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000018_female_Asian_59/mask1.jpg,Wear,59,female,4,3,000018_female_Asian_59
95,95,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000018_female_Asian_59/mask4.jpg,Wear,59,female,4,3,000018_female_Asian_59
96,96,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000018_female_Asian_59/mask5.jpg,Wear,59,female,4,3,000018_female_Asian_59
98,98,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/mask1.jpg,Wear,57,female,4,3,000019_female_Asian_57
99,99,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/normal.jpg,Not Wear,57,female,16,15,000019_female_Asian_57
100,100,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/incorrect_mask.jpg,Incorrect,57,female,10,9,000019_female_Asian_57
101,101,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/mask2.jpg,Wear,57,female,4,3,000019_female_Asian_57
102,102,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/mask4.jpg,Wear,57,female,4,3,000019_female_Asian_57
103,103,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/mask5.jpg,Wear,57,female,4,3,000019_female_Asian_57
104,104,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000019_female_Asian_57/mask3.jpg,Wear,57,female,4,3,000019_female_Asian_57
105,105,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/mask1.jpg,Wear,50,female,4,3,000020_female_Asian_50
106,106,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/normal.jpg,Not Wear,50,female,16,9,000020_female_Asian_50
107,107,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/incorrect_mask.jpg,Incorrect,50,female,10,15,000020_female_Asian_50
108,108,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/mask2.jpg,Wear,50,female,4,3,000020_female_Asian_50
109,109,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/mask4.jpg,Wear,50,female,4,3,000020_female_Asian_50
110,110,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/mask5.jpg,Wear,50,female,4,3,000020_female_Asian_50
111,111,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000020_female_Asian_50/mask3.jpg,Wear,50,female,4,3,000020_female_Asian_50
112,112,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000021_female_Asian_54/mask1.jpg,Wear,54,female,4,3,000021_female_Asian_54
113,113,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000021_female_Asian_54/normal.jpg,Not Wear,54,female,16,15,000021_female_Asian_54
115,115,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000021_female_Asian_54/mask2.jpg,Wear,54,female,4,3,000021_female_Asian_54
116,116,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000021_female_Asian_54/mask4.jpg,Wear,54,female,4,3,000021_female_Asian_54
117,117,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000021_female_Asian_54/mask5.jpg,Wear,54,female,4,3,000021_female_Asian_54
119,119,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000022_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000022_female_Asian_58
124,124,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000022_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000022_female_Asian_58
126,126,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000023_female_Asian_55/mask1.jpg,Wear,55,female,4,3,000023_female_Asian_55
127,127,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000023_female_Asian_55/normal.jpg,Not Wear,55,female,16,15,000023_female_Asian_55
129,129,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000023_female_Asian_55/mask2.jpg,Wear,55,female,4,3,000023_female_Asian_55
130,130,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000023_female_Asian_55/mask4.jpg,Wear,55,female,4,3,000023_female_Asian_55
131,131,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000023_female_Asian_55/mask5.jpg,Wear,55,female,4,3,000023_female_Asian_55
132,132,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000023_female_Asian_55/mask3.jpg,Wear,55,female,4,3,000023_female_Asian_55
133,133,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000024_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000024_female_Asian_58
134,134,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000024_female_Asian_58/normal.jpg,Not Wear,58,female,16,15,000024_female_Asian_58
135,135,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000024_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,9,000024_female_Asian_58
137,137,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000024_female_Asian_58/mask4.jpg,Wear,58,female,4,3,000024_female_Asian_58
138,138,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000024_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000024_female_Asian_58
140,140,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/mask1.jpg,Wear,49,female,4,3,000025_female_Asian_49
141,141,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/normal.jpg,Not Wear,49,female,16,15,000025_female_Asian_49
142,142,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/incorrect_mask.jpg,Incorrect,49,female,10,9,000025_female_Asian_49
143,143,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/mask2.jpg,Wear,49,female,4,3,000025_female_Asian_49
144,144,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/mask4.jpg,Wear,49,female,4,3,000025_female_Asian_49
145,145,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/mask5.jpg,Wear,49,female,4,3,000025_female_Asian_49
146,146,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000025_female_Asian_49/mask3.jpg,Wear,49,female,4,3,000025_female_Asian_49
152,152,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000026_female_Asian_56/mask5.jpg,Wear,56,female,4,3,000026_female_Asian_56
153,153,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000026_female_Asian_56/mask3.jpg,Wear,56,female,4,3,000026_female_Asian_56
154,154,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000028_female_Asian_58
155,155,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/normal.jpg,Not Wear,58,female,16,15,000028_female_Asian_58
156,156,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,9,000028_female_Asian_58
157,157,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/mask2.jpg,Wear,58,female,4,3,000028_female_Asian_58
158,158,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/mask4.jpg,Wear,58,female,4,3,000028_female_Asian_58
159,159,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000028_female_Asian_58
160,160,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000028_female_Asian_58/mask3.jpg,Wear,58,female,4,3,000028_female_Asian_58
161,161,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000029_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000029_female_Asian_58
165,165,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000029_female_Asian_58/mask4.jpg,Wear,58,female,4,3,000029_female_Asian_58
166,166,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000029_female_Asian_58/mask5.jpg,Wear,58,female,4,5,000029_female_Asian_58
168,168,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000030_female_Asian_55/mask1.jpg,Wear,55,female,4,3,000030_female_Asian_55
174,174,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000030_female_Asian_55/mask3.jpg,Wear,55,female,4,3,000030_female_Asian_55
175,175,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/mask1.jpg,Wear,54,female,4,3,000031_female_Asian_54
176,176,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/normal.jpg,Not Wear,54,female,16,15,000031_female_Asian_54
177,177,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/incorrect_mask.jpg,Incorrect,54,female,10,9,000031_female_Asian_54
178,178,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/mask2.jpg,Wear,54,female,4,3,000031_female_Asian_54
179,179,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/mask4.jpg,Wear,54,female,4,3,000031_female_Asian_54
180,180,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/mask5.jpg,Wear,54,female,4,3,000031_female_Asian_54
181,181,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000031_female_Asian_54/mask3.jpg,Wear,54,female,4,3,000031_female_Asian_54
183,183,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000033_male_Asian_57/normal.jpg,Not Wear,57,male,13,12,000033_male_Asian_57
184,184,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000033_male_Asian_57/incorrect_mask.jpg,Incorrect,57,male,7,6,000033_male_Asian_57
194,194,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000034_female_Asian_55/mask5.jpg,Wear,55,female,4,3,000034_female_Asian_55
196,196,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000036_female_Asian_58
197,197,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/normal.jpg,Not Wear,58,female,16,15,000036_female_Asian_58
198,198,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,6,000036_female_Asian_58
199,199,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/mask2.jpg,Wear,58,female,4,0,000036_female_Asian_58
200,200,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/mask4.jpg,Wear,58,female,4,0,000036_female_Asian_58
201,201,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000036_female_Asian_58
202,202,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000036_female_Asian_58/mask3.jpg,Wear,58,female,4,3,000036_female_Asian_58
203,203,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000037_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000037_female_Asian_58
205,205,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000037_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,9,000037_female_Asian_58
206,206,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000037_female_Asian_58/mask2.jpg,Wear,58,female,4,3,000037_female_Asian_58
207,207,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000037_female_Asian_58/mask4.jpg,Wear,58,female,4,1,000037_female_Asian_58
208,208,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000037_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000037_female_Asian_58
210,210,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000038_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000038_female_Asian_58
212,212,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000038_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,9,000038_female_Asian_58
213,213,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000038_female_Asian_58/mask2.jpg,Wear,58,female,4,0,000038_female_Asian_58
216,216,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000038_female_Asian_58/mask3.jpg,Wear,58,female,4,1,000038_female_Asian_58
217,217,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/mask1.jpg,Wear,57,female,4,3,000039_female_Asian_57
218,218,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/normal.jpg,Not Wear,57,female,16,17,000039_female_Asian_57
219,219,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/incorrect_mask.jpg,Incorrect,57,female,10,11,000039_female_Asian_57
220,220,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/mask2.jpg,Wear,57,female,4,5,000039_female_Asian_57
221,221,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/mask4.jpg,Wear,57,female,4,5,000039_female_Asian_57
222,222,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/mask5.jpg,Wear,57,female,4,3,000039_female_Asian_57
223,223,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000039_female_Asian_57/mask3.jpg,Wear,57,female,4,5,000039_female_Asian_57
224,224,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000040_female_Asian_57/mask1.jpg,Wear,57,female,4,3,000040_female_Asian_57
225,225,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000040_female_Asian_57/normal.jpg,Not Wear,57,female,16,15,000040_female_Asian_57
226,226,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000040_female_Asian_57/incorrect_mask.jpg,Incorrect,57,female,10,9,000040_female_Asian_57
227,227,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000040_female_Asian_57/mask2.jpg,Wear,57,female,4,3,000040_female_Asian_57
229,229,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000040_female_Asian_57/mask5.jpg,Wear,57,female,4,3,000040_female_Asian_57
230,230,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000040_female_Asian_57/mask3.jpg,Wear,57,female,4,3,000040_female_Asian_57
231,231,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000041_female_Asian_58
232,232,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/normal.jpg,Not Wear,58,female,16,15,000041_female_Asian_58
233,233,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,9,000041_female_Asian_58
234,234,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/mask2.jpg,Wear,58,female,4,3,000041_female_Asian_58
235,235,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/mask4.jpg,Wear,58,female,4,3,000041_female_Asian_58
236,236,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000041_female_Asian_58
237,237,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000041_female_Asian_58/mask3.jpg,Wear,58,female,4,3,000041_female_Asian_58
245,245,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000044_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000044_female_Asian_58
248,248,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000044_female_Asian_58/mask2.jpg,Wear,58,female,4,3,000044_female_Asian_58
249,249,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000044_female_Asian_58/mask4.jpg,Wear,58,female,4,3,000044_female_Asian_58
250,250,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000044_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000044_female_Asian_58
253,253,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000045_female_Asian_56/normal.jpg,Not Wear,56,female,16,15,000045_female_Asian_56
254,254,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000045_female_Asian_56/incorrect_mask.jpg,Incorrect,56,female,10,9,000045_female_Asian_56
259,259,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000046_male_Asian_55/mask1.jpg,Wear,55,male,1,0,000046_male_Asian_55
262,262,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000046_male_Asian_55/mask2.jpg,Wear,55,male,1,0,000046_male_Asian_55
263,263,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000046_male_Asian_55/mask4.jpg,Wear,55,male,1,0,000046_male_Asian_55
273,273,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/mask1.jpg,Wear,57,female,4,3,000048_female_Asian_57
274,274,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/normal.jpg,Not Wear,57,female,16,15,000048_female_Asian_57
275,275,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/incorrect_mask.jpg,Incorrect,57,female,10,9,000048_female_Asian_57
276,276,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/mask2.jpg,Wear,57,female,4,3,000048_female_Asian_57
277,277,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/mask4.jpg,Wear,57,female,4,3,000048_female_Asian_57
278,278,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/mask5.jpg,Wear,57,female,4,3,000048_female_Asian_57
279,279,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000048_female_Asian_57/mask3.jpg,Wear,57,female,4,3,000048_female_Asian_57
280,280,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000062_female_Asian_55/mask1.jpg,Wear,55,female,4,3,000062_female_Asian_55
281,281,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000062_female_Asian_55/normal.jpg,Not Wear,55,female,16,12,000062_female_Asian_55
282,282,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000062_female_Asian_55/incorrect_mask.jpg,Incorrect,55,female,10,9,000062_female_Asian_55
